ThreadID: 4006205d54740000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 4006a05a54740000, CarID: 5, Object: N0, time stamp: 1952, AID: 0 traveling to connector.
ThreadID: 4006e05b54740000, CarID: 3, Object: N0, time stamp: 1962, AID: 3 finished passing connector.
ThreadID: 4006e05b54740000, CarID: 3, Object: N0, time stamp: 1962, AID: 0 traveling to connector.
ThreadID: 4006405b54740000, CarID: 4, Object: N0, time stamp: 1973, AID: 3 finished passing connector.
ThreadID: 4006405b54740000, CarID: 4, Object: N0, time stamp: 1973, AID: 0 traveling to connector.
ThreadID: 4006205d54740000, CarID: 0, Object: N0, time stamp: 1973, AID: 2 started passing connector.
ThreadID: 4006805c54740000, CarID: 1, Object: N0, time stamp: 1983, AID: 2 started passing connector.
ThreadID: 4006a05a54740000, CarID: 5, Object: N0, time stamp: 2052, AID: 1 arrived at connector.
ThreadID: 4006e05b54740000, CarID: 3, Object: N0, time stamp: 2062, AID: 1 arrived at connector.
ThreadID: 4006405b54740000, CarID: 4, Object: N0, time stamp: 2072, AID: 1 arrived at connector.
ThreadID: 4006e05354740000, CarID: 2, Object: N0, time stamp: 2131, AID: 1 arrived at connector.
ThreadID: 4006e05354740000, CarID: 2, Object: N0, time stamp: 2141, AID: 2 started passing connector.
ThreadID: 4006205d54740000, CarID: 0, Object: N0, time stamp: 2372, AID: 3 finished passing connector.
ThreadID: 4006805c54740000, CarID: 1, Object: N0, time stamp: 2382, AID: 3 finished passing connector.
ThreadID: 4006e05354740000, CarID: 2, Object: N0, time stamp: 2542, AID: 3 finished passing connector.
ThreadID: 4006e05354740000, CarID: 2, Object: N0, time stamp: 2542, AID: 0 traveling to connector.

ThreadID: 4006a05a54740000, CarID: 5, Object: N0, time stamp: 2542, AID: 2 started passing connector.
ThreadID: 4006e05b54740000, CarID: 3, Object: N0, time stamp: 2552, AID: 2 started passing connector.
ThreadID: 4006405b54740000, CarID: 4, Object: N0, time stamp: 2562, AID: 2 started passing connector.
ThreadID: 4006a05a54740000, CarID: 5, Object: N0, time stamp: 2942, AID: 3 finished passing connector.
ThreadID: 4006e05b54740000, CarID: 3, Object: N0, time stamp: 2952, AID: 3 finished passing connector.
ThreadID: 4006405b54740000, CarID: 4, Object: N0, time stamp: 2962, AID: 3 finished passing connector.
ThreadID: 4006e05354740000, CarID: 2, Object: N0, time stamp: 3142, AID: 1 arrived at connector.
ThreadID: 4006e05354740000, CarID: 2, Object: N0, time stamp: 3142, AID: 2 started passing connector.
ThreadID: 4006e05354740000, CarID: 2, Object: N0, time stamp: 3542, AID: 3 finished passing connector.
